Name,Class,URL
BeforeJob,org.springframework.batch.core.annotation.BeforeJob,http://docs.spring.io/spring-batch/apidocs/org/springframework/batch/core/annotation/BeforeJob.html
BeforeJob,org.springframework.batch.core.annotation.BeforeJob,http://docs.spring.io/spring-batch/apidocs/org/springframework/batch/core/annotation/package-summary.html
AbstractBatchConfiguration,org.springframework.batch.core.configuration.annotation.AbstractBatchConfiguration,http://docs.spring.io/spring-batch/apidocs/org/springframework/batch/core/configuration/annotation/AbstractBatchConfiguration.html
AbstractBatchConfiguration,org.springframework.batch.core.configuration.annotation.AbstractBatchConfiguration,http://stackoverflow.com/questions/17881517/spring-batch-configuration-nosuchmethoderror-exception
DefaultBatchConfigurer,org.springframework.batch.core.configuration.annotation.DefaultBatchConfigurer,http://docs.spring.io/spring-batch/apidocs/org/springframework/batch/core/configuration/annotation/DefaultBatchConfigurer.html
DefaultBatchConfigurer,org.springframework.batch.core.configuration.annotation.DefaultBatchConfigurer,http://docs.spring.io/spring-batch/2.2.x/apidocs/org/springframework/batch/core/configuration/annotation/DefaultBatchConfigurer.html
EnableBatchProcessing,org.springframework.batch.core.configuration.annotation.EnableBatchProcessing,http://docs.spring.io/spring-batch/trunk/apidocs/org/springframework/batch/core/configuration/annotation/EnableBatchProcessing.html
EnableBatchProcessing,org.springframework.batch.core.configuration.annotation.EnableBatchProcessing,http://docs.spring.io/spring-batch/apidocs/org/springframework/batch/core/configuration/annotation/AbstractBatchConfiguration.html
JobScope,org.springframework.batch.core.configuration.annotation.JobScope,http://docs.spring.io/spring-batch/trunk/apidocs/org/springframework/batch/core/configuration/annotation/JobScope.html
JobScope,org.springframework.batch.core.configuration.annotation.JobScope,http://docs.spring.io/spring-batch/trunk/apidocs/org/springframework/batch/core/configuration/annotation/EnableBatchProcessing.html
ModularBatchConfiguration,org.springframework.batch.core.configuration.annotation.ModularBatchConfiguration,http://docs.spring.io/spring-batch/apidocs/org/springframework/batch/core/configuration/annotation/AbstractBatchConfiguration.html
ModularBatchConfiguration,org.springframework.batch.core.configuration.annotation.ModularBatchConfiguration,http://docs.spring.io/spring-batch/apidocs/org/springframework/batch/core/configuration/annotation/package-summary.html
ScopeConfiguration,org.springframework.batch.core.configuration.annotation.ScopeConfiguration,http://docs.spring.io/spring-batch/apidocs/org/springframework/batch/core/configuration/annotation/AbstractBatchConfiguration.html
ScopeConfiguration,org.springframework.batch.core.configuration.annotation.ScopeConfiguration,http://stackoverflow.com/questions/25201793/spring-batch-the-batch-works-in-eclipse-but-not-as-a-jar-without-explicit-de
SimpleBatchConfiguration,org.springframework.batch.core.configuration.annotation.SimpleBatchConfiguration,http://docs.spring.io/spring-batch/apidocs/org/springframework/batch/core/configuration/annotation/AbstractBatchConfiguration.html
SimpleBatchConfiguration,org.springframework.batch.core.configuration.annotation.SimpleBatchConfiguration,http://stackoverflow.com/questions/22364432/spring-batch-ora-08177-cant-serialize-access-for-this-transaction-when-running
StepScope,org.springframework.batch.core.configuration.annotation.StepScope,http://2998550.r.msn.com/?ld=DvS6w-STe9EcCtPKi5mhCl9DVUCUzoQtYIY2D9-1943hkYjOnfeUgZ7fh_EbPhbMnMN0eNeyRCWq4l4x8-AOWuRP934SPaHsOfp31U9nUpBYia1zQqaChWxHNQFfw6ttgg0cf-Qg&u=www.healthkart.com%2fhealth-devices%2fdoctors-corner%2fstethoscope%3fnavKey%3dCL-699%26catPrefix%3dhd-ek%7ehd-cp-sp%7ehd-bi%7ehd-dr%7ehd-stc%7ehd-spr%7ehd-chp%7e%26brands%3d23%26utm_source%3dmsn%26utm_medium%3dcpc%26utm_campaign%3dhk_s_c_healthdevices_p_stethoscope%26utm_term%3dstethoscopes%2520for%2520sale
StepScope,org.springframework.batch.core.configuration.annotation.StepScope,http://2097405.r.msn.com/?ld=DvWUfNRCG9tFV6P7xKunraCDVUCUydVgkGnnN-8WZTT_heclEVdWdYEjabNIxs9wU2vPaMuJuwbGg1CCc2DZUIaEeMPrp8FN6cN30f5MPrl0yWGuo_vXTTk9Ek8eDDlpgLW-IATA&u=http%3a%2f%2fwww.collateralmed.com%2fstethoscope%2flittmann%2fclassic-ii-se-stethoscope.html
Classifier,org.springframework.batch.support.annotation.Classifier,http://docs.spring.io/spring-batch/apidocs/org/springframework/batch/support/annotation/package-summary.html
Classifier,org.springframework.batch.support.annotation.Classifier,http://docs.spring.io/spring-batch/apidocs/org/springframework/batch/item/support/ClassifierCompositeItemWriter.html
Autowired,org.springframework.beans.factory.annotation.Autowired,http://7265.r.msn.com/?ld=DvL5uf2DREwR0TpK0sX4oFUzVUCUzDwgYBmgr9W4dMTNy18LsrX9M0coDCt8IRDA3UCWw0Qviz2aXfWNLyCmFz1fWufaEqXzCLK8y7THsNaoTOYxJ0l496PVeNdukYeS_l2Vj-ew&u=http%3a%2f%2fwww.globalsources.com%2fgsol%2fI%2fBean-suppliers%2fs%2f2000000003844%2f3000000190928%2f25630.htm%3fWT.mc_id%3d1001007%26WT.srch%3d1
Autowired,org.springframework.beans.factory.annotation.Autowired,http://docs.spring.io/spring/docs/2.5.x/api/org/springframework/beans/factory/annotation/Autowired.html
Configurable,org.springframework.beans.factory.annotation.Configurable,http://7265.r.msn.com/?ld=Dvj9ObwhGonZQxu9hpXJs41TVUCUx3RBEMpDlwROygPyvvylSVv140tRCcSZPEbi520YgtzbxjFBbSMGB0XSsFTwOyZXJNfOG9WOZzHVf5JPBreSPD5UxwsfYvy9Gmc5V2AalWFw&u=http%3a%2f%2fwww.globalsources.com%2fgsol%2fI%2fBean-suppliers%2fs%2f2000000003844%2f3000000190928%2f25630.htm%3fWT.mc_id%3d1001007%26WT.srch%3d1
Configurable,org.springframework.beans.factory.annotation.Configurable,http://docs.spring.io/spring/docs/2.5.x/api/org/springframework/beans/factory/annotation/Configurable.html
Qualifier,org.springframework.beans.factory.annotation.Qualifier,http://7265.r.msn.com/?ld=Dv-I8hIZivv0GuyfExCxXDqDVUCUyRQyrosiQOraYWKaUx4EmtvnyZe6Ysmh2KYtu63LB-CjNAZ99q9xPhKUN5eS-h-ALc4ZTyAvTWAOm6AijVxcNMvedwFuYv3TeuwR_QEAifVg&u=http%3a%2f%2fwww.globalsources.com%2fgsol%2fI%2fBean-suppliers%2fs%2f2000000003844%2f3000000190928%2f25630.htm%3fWT.mc_id%3d1001007%26WT.srch%3d1
Qualifier,org.springframework.beans.factory.annotation.Qualifier,http://docs.spring.io/spring/docs/2.5.x/api/org/springframework/beans/factory/annotation/Qualifier.html
Value,org.springframework.beans.factory.annotation.Value,http://7265.r.msn.com/?ld=DvG9ZS2GzErYwmfYE-Er7LATVUCUyeEkA06kJ1nd2JEQyaqsQ1-WXudlbu7_UzJ0V_4HvcsYdQVizUQJmBDwUYtSeaU8noWMKI__OIVos_7zB9K428jSVnm-qgZ6-n1TDF2lmAMQ&u=http%3a%2f%2fwww.globalsources.com%2fgsol%2fI%2fBean-suppliers%2fs%2f2000000003844%2f3000000190928%2f25630.htm%3fWT.mc_id%3d1001007%26WT.srch%3d1
Value,org.springframework.beans.factory.annotation.Value,http://docs.spring.io/spring/docs/3.0.x/javadoc-api/org/springframework/beans/factory/annotation/Value.html
AuditAutoConfiguration,org.springframework.boot.actuate.autoconfigure.AuditAutoConfiguration,http://docs.spring.io/spring-boot/docs/1.1.8.RELEASE/api/org/springframework/boot/actuate/autoconfigure/AuditAutoConfiguration.html
AuditAutoConfiguration,org.springframework.boot.actuate.autoconfigure.AuditAutoConfiguration,http://docs.spring.io/spring-boot/docs/1.1.8.RELEASE/api/org/springframework/boot/actuate/autoconfigure/MetricFilterAutoConfiguration.html
AuditEventRepositoryConfiguration,org.springframework.boot.actuate.autoconfigure.AuditAutoConfiguration$AuditEventRepositoryConfiguration,http://docs.spring.io/spring-boot/docs/1.1.8.RELEASE/api/org/springframework/boot/actuate/autoconfigure/AuditAutoConfiguration.html
AuditEventRepositoryConfiguration,org.springframework.boot.actuate.autoconfigure.AuditAutoConfiguration$AuditEventRepositoryConfiguration,http://www.springsource.org/beans
CrshAutoConfiguration,org.springframework.boot.actuate.autoconfigure.CrshAutoConfiguration,http://docs.spring.io/spring-boot/docs/1.1.8.RELEASE/api/org/springframework/boot/actuate/autoconfigure/CrshAutoConfiguration.html
CrshAutoConfiguration,org.springframework.boot.actuate.autoconfigure.CrshAutoConfiguration,http://docs.spring.io/spring-boot/docs/current/api/org/springframework/boot/actuate/autoconfigure/CrshAutoConfiguration.AuthenticationManagerAdapterAutoConfiguration.html
AuthenticationManagerAdapterAutoConfiguration,org.springframework.boot.actuate.autoconfigure.CrshAutoConfiguration$AuthenticationManagerAdapterAutoConfiguration,/search?q=org.springframework.boot.actuate.auto+configure.crash+auto+configuration%24authenticationmanageradapterautoconfiguration&FORM=SSRE
AuthenticationManagerAdapterAutoConfiguration,org.springframework.boot.actuate.autoconfigure.CrshAutoConfiguration$AuthenticationManagerAdapterAutoConfiguration,http://docs.spring.io/spring-boot/docs/current/api/org/springframework/boot/actuate/autoconfigure/CrshAutoConfiguration.AuthenticationManagerAdapterAutoConfiguration.html
EndpointAutoConfiguration,org.springframework.boot.actuate.autoconfigure.EndpointAutoConfiguration,http://docs.spring.io/spring-boot/docs/1.1.8.RELEASE/api/org/springframework/boot/actuate/autoconfigure/EndpointAutoConfiguration.html
EndpointAutoConfiguration,org.springframework.boot.actuate.autoconfigure.EndpointAutoConfiguration,http://docs.spring.io/spring-boot/docs/current/api/org/springframework/boot/actuate/autoconfigure/EndpointAutoConfiguration.GitInfo.html
InfoPropertiesConfiguration,org.springframework.boot.actuate.autoconfigure.EndpointAutoConfiguration$InfoPropertiesConfiguration,http://docs.spring.io/spring-boot/docs/1.1.8.RELEASE/api/org/springframework/boot/actuate/autoconfigure/EndpointAutoConfiguration.html
InfoPropertiesConfiguration,org.springframework.boot.actuate.autoconfigure.EndpointAutoConfiguration$InfoPropertiesConfiguration,http://docs.spring.io/spring-boot/docs/current/api/org/springframework/boot/actuate/autoconfigure/EndpointAutoConfiguration.GitInfo.html
RequestMappingEndpointConfiguration,org.springframework.boot.actuate.autoconfigure.EndpointAutoConfiguration$RequestMappingEndpointConfiguration,http://docs.spring.io/spring-boot/docs/1.1.8.RELEASE/api/org/springframework/boot/actuate/autoconfigure/EndpointAutoConfiguration.html
RequestMappingEndpointConfiguration,org.springframework.boot.actuate.autoconfigure.EndpointAutoConfiguration$RequestMappingEndpointConfiguration,http://docs.spring.io/spring-boot/docs/current/api/org/springframework/boot/actuate/autoconfigure/EndpointAutoConfiguration.GitInfo.html
EndpointMBeanExportAutoConfiguration,org.springframework.boot.actuate.autoconfigure.EndpointMBeanExportAutoConfiguration,http://docs.spring.io/spring-boot/docs/1.1.8.RELEASE/api/org/springframework/boot/actuate/autoconfigure/EndpointMBeanExportAutoConfiguration.html
EndpointMBeanExportAutoConfiguration,org.springframework.boot.actuate.autoconfigure.EndpointMBeanExportAutoConfiguration,http://stackoverflow.com/questions/24006848/javax-management-mbeanserverfactory-is-a-restricted-class
EndpointMBeanExportProperties,org.springframework.boot.actuate.autoconfigure.EndpointMBeanExportProperties,http://docs.spring.io/spring-boot/docs/1.1.6.RELEASE/api/org/springframework/boot/actuate/autoconfigure/EndpointMBeanExportProperties.html
EndpointMBeanExportProperties,org.springframework.boot.actuate.autoconfigure.EndpointMBeanExportProperties,http://docs.spring.io/spring-boot/docs/1.1.8.RELEASE/api/org/springframework/boot/actuate/autoconfigure/EndpointMBeanExportAutoConfiguration.html
EndpointWebMvcAutoConfiguration,org.springframework.boot.actuate.autoconfigure.EndpointWebMvcAutoConfiguration,http://docs.spring.io/spring-boot/docs/1.1.8.RELEASE/api/org/springframework/boot/actuate/autoconfigure/EndpointWebMvcAutoConfiguration.html
